LAC,POSITION,COPIES_CHLORO_G_WET_SED,COPIES_DIATOMS_G_WET_SED,COPIES_CYANOB_G_WET_SED
Abbaye,Bottom,197826.013071895,472.222222222222,136995.555555556
Abbaye,Top,2711480.58139535,523146.401634192,4116462.47328724
Aiguebelette,Bottom,23091.2946428571,187.053571428571,45637.0535714286
Aiguebelette,Top,762428.603166496,62858.8291624106,1149528.93003064
Alate,Bottom,19163.8989809482,2425.32786885246,6877.25742135578
Alate,Top,140418.189655172,33330.8908045977,62440.301724138
Arratille,Bottom,431913.39922444,403308.570888111,1368911.81783789
Arratille,Top,9640114.48188176,18075886.2835347,10938638.0101716
Aulnes,Bottom,NA,NA,NA
Aulnes,Top,2147924.92872981,309590.84890719,36703.6981311372
Aydat,Bottom,109098.521688387,4109.25014588601,56320.2616222525
Aydat,Top,11082142.0836445,14156091.7699776,2296559.19342793
Ayes,Bottom,50652205.8967061,68395738.229638,1688932.59049774
Ayes,Top,70211953.2645162,35905623.8612903,1358588.36129032
Barterand,Bottom,94448.204851752,1106.12668463612,47931.1105121294
Barterand,Top,99575.1062801933,33575.4130434783,136312.461352657
Barroude,Bottom,202402.114030336,16693.3017334778,47009.7440411701
Barroude,Top,1028495.85561497,352606.203208556,46919.35828877
Besse,Bottom,103892.576445294,49.01696129957,30718.4018155757
Besse,Top,3732411.62218891,154852.110944528,186164.227886057
Blanc,Bottom,810.032656023222,NA,NA
Blanc,Top,313387.5,24747774.2045455,44147.3863636364
Blanchemer,Bottom,21052.0481927711,4725.90361445783,20096.7469879518
Blanchemer,Top,1647263.4562212,870502.814351547,642384.423963134
Bonlieu,Bottom,165944.603751316,1633.61842105263,33766.8157894737
Bonlieu,Top,987424.263708611,127645.706488781,911923.635536689
Bordères,Bottom,408238.14529281,40249.2631578947,1485660.43143069
Bordères,Top,2579877.36041645,958536.148821068,1427391.3310197
Cazaux,Bottom,NA,NA,1030181.08108108
Cazaux,Top,21239213.4996332,6013355.57593544,120147.24137931
Chéserys,Bottom,21456.9296375266,444.669509594883,266792.021321962
Chéserys,Top,3144733.96663577,8060541.46431881,760268.790546803
Corbeaux,Bottom,35921.5222876367,516.194280908326,2883.94449116905
Corbeaux,Top,1229242.38257728,303595.086310718,386492.577278201
Crégut,Bottom,21783.4628190899,1639.69478357381,34479.9833518313
Crégut,Top,2145585.45918367,6549742.38520408,298785.076530612
Entressen,Bottom,1734.00351356627,35.5045871559633,57675.811048214
Entressen,Top,3490647.05882353,124137.079831933,25377.5420168067
Espingo,Bottom,5673702.52195222,1094046.81846028,4303704.83561364
Espingo,Top,27689842.8167641,7919559.79044835,4448984.39083821
Etival,Bottom,79732.275878556,173.771216830026,114621.913698303
Etival,Top,8345270.07410949,605253.535739899,1793736.17499402
Gentau,Bottom,281360.270425227,1204.21404682274,172134.559006211
Gentau,Top,434812.645888594,7773.64058355438,413516.876657825
Gérardmer,Bottom,53039.1891891892,42865.2702702703,99718.0353430353
Gérardmer,Top,513116.444270016,2068804.45643642,1250273.57731554
Godivelle,Bottom,186912.801204819,NA,856500.396586345
Godivelle,Top,318329.405233941,8259.80650277557,20447.7383029342
Tazenat,Bottom,168120.86517664,82052.0937274693,64087.2588320115
Tazenat,Top,182992.504957039,52130.5578321216,975127.054857898
Guéry,Bottom,29545.2093210526,7993.26315789473,41787.4170040486
Guéry,Top,3043662.24380945,6243077.4456114,520666.77044261
Ilay,Bottom,41022.683949676,72849.7845977888,39587.9622569577
Ilay,Top,777528.948470884,114258.206954336,1781316.94595727
Isaby,Bottom,125827.272727273,5024174.43181818,503600.151515151
Isaby,Top,1399295,5352122.94141252,1533742.44382022
Gardelle,Bottom,1291981.40131579,132150.052631579,516986.789473684
Gardelle,Top,16120801.5285833,4040155.01657001,1262651.93661972
Lamoura,Bottom,386266.497545008,1382206.96399345,48085.4631751228
Lamoura,Top,8798249.59016394,467165.18735363,689350.199063232
Landie,Bottom,52973.017144427,17848.5164835165,119206.671899529
Landie,Top,22563765.5807004,1163480.7388664,11234246.5182186
Longemer,Bottom,56831.0344827586,321085.461106656,32477.5862068966
Longemer,Top,2243929.49576082,293594.984381972,1205980.95939313
Maix,Bottom,4211.3829787234,8648.76595744681,66749.3404255319
Maix,Top,663903.256904638,8005.94841063054,75872.4960917144
Marion,Bottom,1437563.26669842,31572.7879746835,26660.335443038
Marion,Top,7324438.81895747,4633.65427359062,9660.73651242675
Montcineyre,Bottom,13122.8100309172,33795.9275163174,376355.395053246
Montcineyre,Top,7830855.61269468,25082999.3652659,1015899.13311784
Mouriscot,Bottom,97231.4912786647,1680.96335268505,71130.2013788099
Mouriscot,Top,1216077.95450364,94806.6423737637,2814298.4903696
Mont Coua,Bottom,100669.444444444,157188.888888889,1902181.38888889
Mont Coua,Top,5981385.76470588,195313.441176471,5661820.3117647
Nantua,Bottom,190513.913913914,1278.998998999,1927393.92392392
Nantua,Top,3241433.67808662,4846433.17388494,603129.816418875
Parentis,Bottom,27546.0249855419,158.656022127232,12913.2423937641
Parentis,Top,6518529.5263617,797677.172023183,3007307.96759747
Peyrelade,Bottom,597536.916397522,4556.80748663102,494929.122994653
Peyrelade,Top,1012211.74028941,133769.238385377,1494869.80959634
Port Bielh,Bottom,4546015.63357546,7611354.08393866,562613.470540759
Port Bielh,Top,35076905.3921955,35980623.8431218,1762220.2798581
Rousses,Bottom,50207.5022065313,198459.868868995,22065.8075904678
Rousses,Top,5318622.40461402,297685.348269743,3069255.65882875
Roumazet,Bottom,1346027.0952381,223755.571428571,3104788.14285714
Roumazet,Top,34878221.7624593,9004643.04983699,56018245.3246391
Saint-Point,Bottom,121869.427244582,57692.0433436533,1322779.29566563
Saint-Point,Top,11282362.3486683,8026869.07183212,1088933.41000807
Serviere,Bottom,27781.3884493671,8367.24683544304,42093.1744462025
Serviere,Top,1547818.02631579,18405.947368421,230276.763157895
Soucarrane,Bottom,379518.098901099,1165323.93406593,1825932.46153846
Soucarrane,Top,16159793.1282431,36553841.0859896,39309397.4610823
Val,Bottom,22085.2885225111,766.733037412809,9901.23652504756
Val,Top,460561.936936937,198436.024774775,554449.369369369
Balcère,Bottom,90855.4154889768,2664.04748445449,110683.668739401
Balcère,Top,4137856.42494929,182387.205882353,650881.957403651
Verdet,Bottom,276660.332464146,488914.121577575,805745.172750978
Verdet,Top,32184173.1910606,4742979.2049826,2003509.3524455
Vert,Bottom,27613.8069850941,142730.233924491,729766.147318029
Vert,Top,316300.501672241,76296.7391304348,3515638.26086957
