Lacs,Altitude (m),Glaciers et neiges éternelles  (ha),Marais intérieurs (ha),Tourbières  (ha),Prairie et autres surfaces toujours en herbe à usage agricole  (ha),Pelouses et pâturages naturels  (ha),Forêt de conifères (ha),Forêt de Feuillus  (ha),Forêt mélangée  (ha),Forêt et végétation arbustive en mutation   (ha),Landes et broussailles  (ha),Végétation clairsemée  (ha),Systèmes culturaux complexes   (ha),Terres arables hors périmètres d'irrigation   (ha),Espaces agricoles interrompus par espace naturels  (ha),Roches Nues  (ha),"Sable, plage et dune   (ha)",Tissu urbain discontinu   (ha),Equipements sportifs et de loisirs  (ha),Tissu urbain continu,Zones industrielles ou commerciales et installations publiques,Réseaux routier et ferroviaire et espaces associés,Aéroports,Extraction de matériaux,Décharges,Chantiers,Espaces verts urbains,Vignobles,Vergers et petits fruits,Végétation sclérophylle,Marais maritimes,Plans d'eau
ABBAYE,910,0,25.3992,0,157.81706,29.6931,5.23304,0,0,0,0,0,0,0,0,0,0,27.68945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIGUEBELETTE,374,0,0,0,1556.898,0,464.0549,1249.6596,644.9134,0,0,0,511.155,2.8489,708.7457,0,0,142.7075,0,0,0,25.2066,0,0,0,0,0,0,0,0,0,0
ARATILLE,2247,0,0,0,0,0,0,0,0,0,0,97.73308,0,0,0,232.250842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYDAT,825,0,0,0,893.18614,139.76278,216.0541,22.4098,107.9755,63.58424,79.3425,0,854.36848,0,86.9578,0,0,139.6935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARROUDE,2355,0,0,0,0,11.3005,0,0,0,0,0,83.1152,0,0,0,389.6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARTERAND,295,0,0,0,0,0,0,406.714,5.0612,0,0,0,230.9862,0,150.3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BESSE,245,0,0,0,3.0362,0,0,0.0881,64.2587,0,0,0,0,0,0,0,0,27.6835,0,0,0,0,0,0,0,0,0,37.4171,0,30.773,0,0
BLANCHEMER,984,0,0,0,22.77268,0,0,149.274,36.86293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONLIEU,803,0,7.89526,0,0,0,227.4495,0,20.1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOURGET,231,0,213.1672,0,6955.749,894.703,4826.3831,17150.7218,4153.0166,641.58,41.1573,89.0034,9046.1716,557.3758,3522.5043,8.3842,0,6143.084,186.9589,169.1572,1402.1357,173.4391,187.166,98.1176,0,27.6347,73.096,612.1483,235.1982,0,0,0
CHALAIN,490,0,22.3344,0,436.228375,0,425.86045,1148.1155,575.8992,0,0,0,0,356.6438,334.97539,0,0,57.89495,86.6251,0,0,0,0,0,0,0,0,0,0,0,0,0
CHESERY,2135,0,0,0,0,0,0,0,0,0,0,16.2823,0,0,0,19.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORBEAUX,887,0,0,0,0,0,35.11855,0,56.6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREGUT,900,0,0,95.502,3409.874532909,2501.7324,829.4016,1059.9200554443,89.1588199219,24.7802205002,138.28200219,0,0,0,758.6727959961,38.4599,0,33.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETIVAL,795,0,0,0,41.76148,0,341.114,0,0,0,0,0,0,0,0,0,0,8.63578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENTAU,1950,0,0,0,0,75.1529,0,0,0,0,0,129.90309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERARDMER,660,0,0,0,166.41582,0,854.64,0,31.2573,29.7033,0,0,42.9494,0,0,0,0,240.01526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GODIVELLE,1239,0,0,0,12.1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOUR DE TAZENAT,630,0,0,0,4.97226,0,0,27.1856,0,0,0,0,65.402,0,5.17166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUERY,1246,0,0,0,10.2725,711.742,22.3332,0,46.0135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILAY,778,0,64.9585,0,16.51706,0,35.8249,0,38.30759,0,0,0,0,0,0,0,0,6.79406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISABY,1562,0,0,0,0,298.705,0,0,0,48.3465,37.987,141.8605,0,0,0,230.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMOURA,1156,0,0,0,201.7344,51.3188,747.4299,3.5282,0,0,0,0,60.7461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANDIE ,1000,0,0,0,122.02384,140.01305,0,36.35013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONGEMER,736,0,0,0,0,0,384.8662,0,225.78779,0,0,0,0,0,12.21119,0,0,0,42.16792,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIX,678,0,0,0,0,0,17.2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARION,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5763,0,0,0,0,0,0,0,0,32.7548,0,0,0,0,0
MONT COUA,2797,0,0,0,0,0,0,0,0,0,0,3.3341601563,0,0,0,70.147902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURISCOT,21,0,0,0,0,0,0,15.8136,0,0,0,0,1.5853,0,0,0,0,75.4484,0,0,1.8183,4.3926,0,0,0,0,20.0109,0,0,0,0,0
PARENTIS,19,0,369.5586,0,33.3965,0,25017.3767,1120.8577,1304.9662,14716.9728,1004.2217,0,482.2399,4494.1821,1472.6284,0,4.0913,2489.3518,480.2007,0,280.3245,0,240.9158,0,25.7708,0,0,0,0,0,83.1377,118.9196
PORTBIEHL,2313,0,0,0,0,16.89447,0,0,0,0,0,0,0,0,0,217.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUMAZET,2163,0,0,0,0,6.2207,0,0,0,0,0,16.1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUSSES,1059,0,88.8233,74.98685,858.23273,61.74045,583.4798,128.422,103.6876,0,0,0,0,0,0,0,0,86.9689,157.222,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINTPOINT,850,0,295.9119,0,1575.17936,1938.954,9525.1154,0,2265.5704,142.4104,0,0,3867.11775,665.6064,601.46828,0,0,701.2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERVIERE,1200,0,0,0,0,0.904212,40.9298,0,0,7.69758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUCARANE,2291,0,0,0,0,3.0404,0,0,0,0,0,40.058,0,0,0,57.4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAL,520,0,148.9408,0,252.9511799805,22.5683,577.5266,669.1988796875,295.7745296875,0,0,0,43.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERDET,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1994536011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERT,1266,0,0,0,0,0,37.3014,0,11.5398,0,77.2242,0,0,0,0,49.4975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
